state-code,percent-one,percent-two,percent-three
"=""01""",0.5250927750037238,0.3375276211958783,0.17311899771792408
"=""02""",0.4642915218409347,0.07394931820972314,0.028681056492861904
"=""03""",1.2146883218369098,0.4298872366116558,0.6466433345634256
"=""04""",0.03927225051989029,0.021302385909093058,0.02659104567565402
"=""05""",0.6878227498915421,0.12965499831281613,0.015511519014881995
"=""06""",1.628939994851258,0.3680696767702182,0.09667309646776966
"=""07""",0.8234451845507837,0.4508368965476862,0.11217140167893119
"=""08""",5.043977368067589,0.5340387678812836,0.08314381318350067
"=""09""",14.612710469950855,1.6755057695071933,0.21354035364385343
"=""10""",7.212892432121539,1.24533600525474,0.13895735095946177
"=""11""",0.01829930125480254,0.017144662568455545,0.014981315140599204
"=""12""",0.04110996027231096,0.03860032860070575,0.03456656725622064
"=""13""",0.06183886709993677,0.05716968696904485,0.04438855273417272
"=""14""",0.12116843287336135,0.06374025086903533,0.050940699895227835
"=""15""",0.06503693794537709,0.021202952036096723,0.00437426454910628
"=""16""",0.19864608443526263,0.08836929445102326,0.016399734383715548
"=""17""",0.17711196144342228,0.04520681752956118,0.02270552669165764
"=""18""",1.3829059068235552,0.8347898131486972,0.35945650657386696
"=""19""",6.297225386058764,1.0029973226100057,0.23793146617260014
"=""20""",1.8984448539785783,0.6943590404881327,0.13156315415632142
"=""21""",2.3247370275292676,0.6854450910845948,0.45631211870552524
"=""22""",1.8301923368978315,0.24459196652416287,0.03489839890215028
"=""23""",5.1879150016492845,0.7061728417043951,0.1038896501971433
"=""24""",2.8531369698453988,1.430540430441655,0.7078115185382766
"=""25""",0.010456908746719385,0.006774304236105064,0.0028576502270923894
"=""26""",0.011952380982780566,0.010527024492710988,0.005906239917945186
"=""27""",4.5384850410537645,3.11310047165128,1.6289918590308607
"=""28""",5.2027240418238785,1.2585287494755037,0.5239583699543235
"=""29""",3.0427015373286936,1.3561050094275657,0.6468263457449538
"=""30""",0.027451099125308378,0.031787704333811395,0.06121699246234341
"=""31""",0.003792361667767254,0.0007079295343227548,0.0008242935933359094
"=""32""",2.084698372594623,0.41083152768013104,0.2633521817699891
"=""33""",4.272250680933527,1.484001580810284,0.20210207221207135
"=""34""",0.07066585315773947,0.026479389034216278,0.005918545272659849
"=""35""",0.010170995068718292,0.01525508863643214,0.006004682755662489
